peg_x,peg_y,success,file,demo,radial,depth,upright
0.08970,-0.05597,0,gen_mimicgen_failed.hdf5,demo_197,0.09420,0.00000,-0.0000
0.21050,-0.09279,0,gen_mimicgen_failed.hdf5,demo_198,0.22938,0.00000,0.9999
0.09858,-0.04056,0,gen_mimicgen_failed.hdf5,demo_199,0.15239,0.00000,1.0000
0.12018,-0.01132,0,gen_mimicgen_failed.hdf5,demo_2,0.11894,0.00000,0.0000
0.21634,-0.07648,0,gen_mimicgen_failed.hdf5,demo_20,0.01021,0.01368,0.9996
0.22435,-0.07171,0,gen_mimicgen_failed.hdf5,demo_200,0.22993,0.00000,0.9999
0.18054,0.01399,0,gen_mimicgen_failed.hdf5,demo_201,0.12842,0.00000,1.0000
0.23600,-0.10313,0,gen_mimicgen_failed.hdf5,demo_202,0.24810,0.00000,0.9997
0.15364,-0.01667,0,gen_mimicgen_failed.hdf5,demo_203,0.01023,0.01679,1.0000
0.13933,-0.11684,0,gen_mimicgen_failed.hdf5,demo_204,0.21724,0.00000,0.9838
0.24273,0.11288,0,gen_mimicgen_failed.hdf5,demo_205,0.07134,0.00000,-0.9990
0.21689,0.05423,0,gen_mimicgen_failed.hdf5,demo_206,0.16974,0.00000,0.9999
0.22312,0.05339,0,gen_mimicgen_failed.hdf5,demo_207,0.01059,0.01576,0.6893
0.08610,0.02843,0,gen_mimicgen_failed.hdf5,demo_208,0.01864,0.00000,0.3044
0.22143,-0.10234,0,gen_mimicgen_failed.hdf5,demo_209,0.24445,0.00000,1.0000
0.12513,-0.08774,0,gen_mimicgen_failed.hdf5,demo_21,0.01132,0.00771,0.8486
0.10709,-0.07371,0,gen_mimicgen_failed.hdf5,demo_210,0.07195,0.00000,-0.9688
0.20697,-0.01458,0,gen_mimicgen_failed.hdf5,demo_211,0.16317,0.00000,0.9997
0.08735,-0.01223,0,gen_mimicgen_failed.hdf5,demo_212,0.12403,0.00000,1.0000
0.16767,0.05605,0,gen_mimicgen_failed.hdf5,demo_213,0.09645,0.00000,1.0000
0.24135,-0.09144,0,gen_mimicgen_failed.hdf5,demo_214,0.24499,0.00000,1.0000
0.23701,-0.04848,0,gen_mimicgen_failed.hdf5,demo_215,0.20918,0.00000,0.9993
0.21608,0.02642,0,gen_mimicgen_failed.hdf5,demo_216,0.17878,0.00000,0.9492
0.15095,-0.10744,0,gen_mimicgen_failed.hdf5,demo_217,0.06020,0.00000,0.9999
0.22022,-0.00359,0,gen_mimicgen_failed.hdf5,demo_218,0.17017,0.00000,0.9988
0.15640,0.06032,0,gen_mimicgen_failed.hdf5,demo_219,0.08259,0.00000,0.9992
0.13327,-0.02427,0,gen_mimicgen_failed.hdf5,demo_22,0.01071,0.01392,1.0000
0.21992,-0.06359,0,gen_mimicgen_failed.hdf5,demo_220,0.00693,0.00922,0.9766
0.21173,-0.08525,0,gen_mimicgen_failed.hdf5,demo_221,0.22227,0.00000,0.9998
0.18613,-0.07170,0,gen_mimicgen_failed.hdf5,demo_222,0.06160,0.00000,0.0000
0.21529,0.00251,0,gen_mimicgen_failed.hdf5,demo_223,0.18066,0.00000,0.7670
0.18064,0.02564,0,gen_mimicgen_failed.hdf5,demo_224,0.14611,0.00000,0.7808
0.16882,0.04813,0,gen_mimicgen_failed.hdf5,demo_225,0.09492,0.00000,-0.0000
0.11706,0.02600,0,gen_mimicgen_failed.hdf5,demo_226,0.09424,0.00000,0.6573
0.16948,-0.01464,0,gen_mimicgen_failed.hdf5,demo_227,0.06350,0.00000,0.0000
0.20026,-0.02227,0,gen_mimicgen_failed.hdf5,demo_228,0.16172,0.00000,1.0000
0.11294,-0.00749,0,gen_mimicgen_failed.hdf5,demo_229,0.01045,0.01628,0.6339
