peg_x,peg_y,success
0.194992,0.063505,1
0.194992,0.063505,0
0.194992,0.063505,1
0.194992,0.063505,0
0.194992,0.063505,0
0.194992,0.063505,0
0.194992,0.063505,1
0.194992,0.063505,0
0.194992,0.063505,0
0.194992,0.063505,0
0.194992,0.063505,0
0.194992,0.063505,0
0.194992,0.063505,0
0.194992,0.063505,0
0.194992,0.063505,0
0.194992,0.063505,0
0.218495,-0.086318,0
0.218495,-0.086318,0
0.218495,-0.086318,1
0.218495,-0.086318,0
0.218495,-0.086318,1
0.218495,-0.086318,1
0.218495,-0.086318,1
0.218495,-0.086318,0
0.218495,-0.086318,0
0.218495,-0.086318,1
0.218495,-0.086318,1
0.218495,-0.086318,1
0.218495,-0.086318,0
0.218495,-0.086318,1
0.218495,-0.086318,0
0.218495,-0.086318,0
0.218495,-0.086318,0
0.218495,-0.086318,0
0.218495,-0.086318,0
0.218495,-0.086318,0
0.218495,-0.086318,0
0.218495,-0.086318,0
0.218495,-0.086318,0
0.218495,-0.086318,0
0.218495,-0.086318,1
0.218495,-0.086318,0
0.218495,-0.086318,0
0.218495,-0.086318,1
0.218495,-0.086318,1
0.218495,-0.086318,0
0.218495,-0.086318,0
0.218495,-0.086318,1
0.218495,-0.086318,1
0.218495,-0.086318,1
0.218495,-0.086318,0
0.218495,-0.086318,0
0.218495,-0.086318,0
0.218495,-0.086318,1
0.218495,-0.086318,1
0.218495,-0.086318,1
0.218495,-0.086318,0
0.218495,-0.086318,0
0.218495,-0.086318,0
0.218495,-0.086318,0
0.218495,-0.086318,0
0.218495,-0.086318,0
0.218495,-0.086318,1
0.218495,-0.086318,0
0.196619,0.113383,0
0.196619,0.113383,0
0.196619,0.113383,1
0.196619,0.113383,0
0.196619,0.113383,0
0.196619,0.113383,0
0.196619,0.113383,1
0.196619,0.113383,0
0.196619,0.113383,0
0.196619,0.113383,1
0.196619,0.113383,0
0.196619,0.113383,0
0.196619,0.113383,0
0.196619,0.113383,0
0.196619,0.113383,1
0.196619,0.113383,0
0.196619,0.113383,0
0.196619,0.113383,0
0.196619,0.113383,0
0.196619,0.113383,0
0.196619,0.113383,0
0.196619,0.113383,0
0.196619,0.113383,0
0.196619,0.113383,0
0.196619,0.113383,0
0.196619,0.113383,0
0.196619,0.113383,0
0.196619,0.113383,0
0.196619,0.113383,0
0.196619,0.113383,1
0.196619,0.113383,0
0.196619,0.113383,0
0.196619,0.113383,0
0.196619,0.113383,0
0.196619,0.113383,1
0.196619,0.113383,0
0.196619,0.113383,0
0.196619,0.113383,1
0.196619,0.113383,1
0.196619,0.113383,0
0.196619,0.113383,0
0.196619,0.113383,0
0.196619,0.113383,0
0.196619,0.113383,0
0.196619,0.113383,0
0.196619,0.113383,0
0.196619,0.113383,0
0.196619,0.113383,0
0.249649,-0.050683,1
0.249649,-0.050683,0
0.249649,-0.050683,0
0.249649,-0.050683,0
0.249649,-0.050683,0
0.249649,-0.050683,0
0.249649,-0.050683,0
0.249649,-0.050683,0
0.249649,-0.050683,0
0.249649,-0.050683,0
0.249649,-0.050683,0
0.249649,-0.050683,0
0.249649,-0.050683,0
0.249649,-0.050683,0
0.249649,-0.050683,0
0.249649,-0.050683,0
0.249649,-0.050683,0
0.249649,-0.050683,0
0.249649,-0.050683,0
0.249649,-0.050683,0
0.249649,-0.050683,0
0.249649,-0.050683,0
0.249649,-0.050683,0
0.249649,-0.050683,0
0.249649,-0.050683,0
0.249649,-0.050683,0
0.249649,-0.050683,0
0.249649,-0.050683,0
0.249649,-0.050683,0
0.249649,-0.050683,0
0.249649,-0.050683,0
0.249649,-0.050683,0
0.249649,-0.050683,0
0.249649,-0.050683,0
0.249649,-0.050683,0
0.249649,-0.050683,0
0.249649,-0.050683,0
