peg_x,peg_y,success,file,demo,radial,depth,upright
0.15902,-0.09446,0,gen_skillgen_sart_failed.hdf5,demo_247,0.00497,0.01184,0.9792
0.15902,-0.09446,0,gen_skillgen_sart_failed.hdf5,demo_248,0.01272,-0.00004,0.9979
0.15902,-0.09446,0,gen_skillgen_sart_failed.hdf5,demo_249,0.01668,0.00000,0.7807
0.19684,0.10442,0,gen_skillgen_sart_failed.hdf5,demo_25,0.04118,0.00000,0.9999
0.15902,-0.09446,0,gen_skillgen_sart_failed.hdf5,demo_250,0.01621,0.00000,0.8347
0.15902,-0.09446,0,gen_skillgen_sart_failed.hdf5,demo_251,0.01059,0.01566,1.0000
0.15902,-0.09446,0,gen_skillgen_sart_failed.hdf5,demo_252,0.09387,0.00000,0.0000
0.15902,-0.09446,0,gen_skillgen_sart_failed.hdf5,demo_253,0.00554,0.00032,0.9939
0.19684,0.10442,0,gen_skillgen_sart_failed.hdf5,demo_26,0.00564,-0.00002,0.9986
0.19684,0.10442,0,gen_skillgen_sart_failed.hdf5,demo_27,0.01484,-0.00003,0.9993
0.19684,0.10442,0,gen_skillgen_sart_failed.hdf5,demo_28,0.00801,0.00252,0.9673
0.22350,0.10678,0,gen_skillgen_sart_failed.hdf5,demo_29,0.01068,0.01509,0.7325
0.22371,-0.08085,0,gen_skillgen_sart_failed.hdf5,demo_3,0.01412,0.00636,0.8975
0.22350,0.10678,0,gen_skillgen_sart_failed.hdf5,demo_30,0.01045,0.01633,0.6261
0.22350,0.10678,0,gen_skillgen_sart_failed.hdf5,demo_31,0.01067,0.01531,1.0000
0.22350,0.10678,0,gen_skillgen_sart_failed.hdf5,demo_32,0.01060,0.01568,1.0000
0.22350,0.10678,0,gen_skillgen_sart_failed.hdf5,demo_33,0.01066,0.01581,0.6733
0.22350,0.10678,0,gen_skillgen_sart_failed.hdf5,demo_34,0.01416,-0.00004,0.9990
0.22350,0.10678,0,gen_skillgen_sart_failed.hdf5,demo_35,0.01070,0.01449,1.0000
